DisplayName,AppId,ServicePrincipalType,AccountEnabled,PublisherName,Homepage
Skype Core Calling Service,bfb38f88-e1f9-5629-acdb-02e5acf6eaea,Application,True,,
O365 Secure Score,f4989fb5-f74b-5df7-aa22-26ddbd19cde2,Application,True,,
Office 365 Search Service,fc6e79ed-c51c-54f9-b533-d0448001b03e,Application,True,,
PowerPlatform-a365outlookcalendarmcp-Connector,33a7d660-6783-5e4a-8821-72ede44f5a7b,Application,True,,
Microsoft Graph Command Line Tools,489b578a-c843-53e2-bea0-7e4ee4b6a861,Application,True,,https://docs.microsoft.com/en-us/graph/powershell/get-started
Microsoft Teams Chat Aggregator,e05a8098-847e-500f-8241-036defedec94,Application,True,,
M365 Label Analytics,d9d08d75-d6dd-58e2-b7eb-493c2ec56d40,Application,True,,
Microsoft 365 App Catalog Services,d530ddb8-8903-5101-a9b8-539d92441229,Application,True,,
MS-PIM,4ea1cb8c-7822-5d83-bcc5-dcfeb7691d8c,Application,True,,
Office 365 Enterprise Insights,ad382436-fe33-5421-8823-bc218ca64250,Application,True,,
Power Platform Policy TIRPS CM - PROD,cb9eb1de-cb40-57dc-8f25-a398f7bc04a4,Application,True,,
Microsoft Information Protection API,c7aaab2f-e1e4-5bfc-a056-6b9ae8a43b09,Application,True,,
Microsoft Security Data Connectors,cbd81d0e-0e6d-5f28-98f1-561945ec7e8b,Application,True,,
Azure Resource Graph,57bcc72c-a143-58cf-820f-e08265160932,Application,True,,
Microsoft Intune API,6c63bea7-85a8-5437-801d-1576e14bc3ba,Application,True,,
Call Quality Dashboard,08c6cc67-0403-585a-ba06-605384834662,Application,True,,
Narada Notification Service,ca1f9827-d2f2-5fc5-bba2-f247d4e115fd,Application,True,,
MIP Exchange Solutions - SPO,a7312179-7667-5f8a-bb01-0170800f0ee0,Application,True,,
Customer Experience Platform PROD,08dc7049-5387-511d-bd97-cc0d7ffc280e,Application,True,,
Microsoft Device Management EMM API,284bb19c-175b-57bf-8dd1-5910e4a24611,Application,True,,
Microsoft Threat Protection,77bf46f0-d371-5881-8891-eae314954e64,Application,True,,
Azure Virtual Desktop,84bbe17e-956c-5340-89a6-beac7c6b4db4,Application,True,,
OfficeServicesManager,fd6a2cc1-b98c-53f0-bfbb-ac326ba9abdd,Application,True,,
Microsoft Exchange Online Protection,a0eada54-a21d-5159-abc7-0acfc6ce3a65,Application,True,,
Groups Service,7daad74d-2681-5441-a2e5-3e144743d8ee,Application,True,,
Microsoft Edge management service,a56a82ee-a600-55cc-9f34-a5c295f291f1,Application,True,,
Marketplace Rating and Reviews PROD,a279c8a6-8a7e-5300-80af-a4581893fc6e,Application,True,,
M365 App Management Service,79dcebbf-de33-5924-85c8-3cc53b32a92c,Application,True,,
Microsoft App Access Panel,4e8a7b00-6934-59a5-b7b4-fa86756d39ab,Application,True,,
Excel Online Business Connector,4b374fba-3991-5c30-9875-b5de44021442,Application,True,,
WeveEngine,d5f58ca8-deec-513f-975e-9e4f86945ca5,Application,True,,
MMD Intune Partner Sync,b2c11ea6-1f1e-53d2-8530-50bd51b13be9,Application,True,,
OneProfile Service,734ced4e-9206-5cf8-bd1f-a77149ea66f5,Application,True,,
Power Platform API,b02cc6db-43d8-5afb-abf7-9db6a9fcdd52,Application,True,,
AzureSupportCenter,cda737bb-36e6-504c-8ca2-ccd2ca35749e,Application,True,,
Microsoft SaaS Hub Resource Provider AirCapi,56b38db8-b093-5f27-a969-ab9bac0df8e9,Application,True,,
Microsoft Office Licensing Service,9ab6da5b-18c4-508e-9f0d-4650e06fb83a,Application,True,,
Exchange Rbac,8ed6c923-4b40-59a5-a0eb-66e98ef47d93,Application,True,,
Privacy Management,7fbc9f5f-0456-5c65-bc1a-8751e600314f,Application,True,,
CPIM Service,a920b4c7-ee36-53d7-9660-f83c00a4b36f,Application,True,,
SharePoint Home Notifier,4263232e-bd48-5655-b412-5417dd6b1375,Application,True,,
Office365 Shell SS-Server Default,0460964c-5442-5842-a9db-4ed7dacf2569,Application,True,,
Planner Connector,9146d645-e22e-5685-9bb2-b5f2235f11a5,Application,True,,
Substrate-FileWatcher,56130cf5-c0aa-587d-966e-97f574120008,Application,True,,
AAD Terms Of Use,e2b5e1c6-f086-5240-8a6a-8e081df5d08b,Application,True,,
IAM Supportability,ab7580dc-81b6-50c9-bfe7-36f830364796,Application,True,,
Meeting Migration Service,95d8abc3-2f23-5de7-b6c3-a2e05e280ac1,Application,True,,
Microsoft Teams ATP Service,44e85a78-7f1e-5581-9b8f-a9c0ecd59c0a,Application,True,,
Dynamics Data Integration,adb9a126-4c60-55b5-9acc-1c20aa448f65,Application,True,,
Microsoft Forms,9eaaf335-6d8f-556e-b6e5-3ea0c2ce3162,Application,True,,
Signup,c15db0d9-d707-5ab0-bd20-e52470386f70,Application,True,,
Cortana Runtime Service,dd601034-b6af-51c5-847e-137e6c0e8789,Application,True,,
Power Platform Policy Services CM - PROD,c9752dfe-0515-55bb-ba8c-8f6bc9e04b2b,Application,True,,
PowerApps Service,028554c9-e119-5b09-ae4b-be45dd86cf21,Application,True,,
Microsoft Service Trust,26a6338f-9d05-5e5e-9992-321ce8515f2b,Application,True,,
Dunloe Dataplane Service,453f1646-3752-52bc-8373-fc1c808bf763,Application,True,,
PowerPlatform-a365teamsmcp-Connector,09882d15-8dfc-525d-bf89-cdf41fa9ea7a,Application,True,,
Cortana at Work Service,f423e3b8-9555-505e-8f23-00bd665c0513,Application,True,,
Policy Administration Service,a7ed22ca-cdbf-567f-9b0b-da80fe3f5532,Application,True,,
Microsoft Graph Connectors Core,feace125-59f0-5d5d-92d8-dc2938556e06,Application,True,,
IAMTenantCrawler,dbf8044b-7744-5484-956b-5ea3371d766d,Application,True,,
OfficeClientService,74af6358-547c-51ad-9ec1-938a21d44b84,Application,True,,
WindowsDefenderATP,e504d6dd-1e44-511f-bc13-f0e5e183f64c,Application,True,,
Microsoft Office 365 Portal,7c94fe2a-0a9c-5712-918f-e7077c98e4de,Application,True,,
PowerPlatform-a365wordmcp-Connector,dc6e6f71-eada-5cb0-938f-efed0fd66194,Application,True,,
Microsoft Teams AuthSvc,3eacbe9a-c01d-560d-a631-2d7ed9e35ae6,Application,True,,
Azure AD Identity Governance - Entitlement Management,7b4e3c10-7183-564c-8feb-8c938ccf7ee7,Application,True,,
Microsoft Intune SCCM Connector,baba11f7-b23f-5b0d-a6cf-1c7864e673ff,Application,True,,
Microsoft Rights Management Services,fc55f57d-6396-567d-9f2a-4d03d8554656,Application,True,,
PowerPlatform-a365copilotchatmcp-Connector,846c2631-5c8c-5cd2-85ea-b7e988911726,Application,True,,
Connectors,a43c1093-a096-56d9-8755-708073b502f5,Application,True,,
Graph Connector Federated Credential App,2dafec95-9052-5e86-ad21-ae56684df32b,Application,True,,
Teams NRT DLP Ingestion Service,193902db-d43b-579b-b87b-834aadc3845f,Application,True,,
Microsoft Solution Providers,018e8da8-a434-5823-a5e4-41f3b52f9bc0,Application,True,,
OCaaS Experience Management Service,60f6edfb-cfc2-507c-93a0-f829beef0674,Application,True,,
Intune Grouping and Targeting Client Prod,c8eab033-6ec1-5d65-8e71-8a7728f0afa0,Application,True,,
PowerPlatform-a365adminmcp-Connector,b6ddb299-4ef3-5dc5-b169-31bedea4718b,Application,True,,
